n,p,DPAvgValidPaths,DPAvgOptimalPaths,RecAvgValidPaths,RecAvgOptimalPaths
2,0.000000,2.000000,2.000000,2.000000,2.000000
2,0.250000,1.000000,1.000000,1.000000,1.000000
2,0.500000,0.000000,0.000000,0.000000,0.000000
2,0.750000,0.000000,0.000000,0.000000,0.000000
2,1.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,6.000000,2.000000,6.000000,2.000000
3,0.111111,3.333333,1.333333,3.333333,1.333333
3,0.222222,2.285714,1.142857,2.285714,1.142857
3,0.333333,2.000000,1.000000,2.000000,1.000000
3,0.444444,1.000000,1.000000,1.000000,1.000000
3,0.555556,0.000000,0.000000,0.000000,0.000000
3,0.666667,0.000000,0.000000,0.000000,0.000000
3,0.777778,0.000000,0.000000,0.000000,0.000000
3,0.888889,0.000000,0.000000,0.000000,0.000000
3,1.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,20.000000,2.000000,20.000000,2.000000
4,0.062500,13.000000,1.000000,13.000000,1.000000
4,0.125000,8.875000,1.500000,8.875000,1.500000
4,0.187500,3.857143,1.142857,3.857143,1.142857
4,0.250000,3.750000,1.500000,3.750000,1.500000
4,0.312500,0.000000,0.000000,0.000000,0.000000
4,0.375000,1.500000,1.000000,1.500000,1.000000
4,0.437500,0.000000,0.000000,0.000000,0.000000
4,0.500000,1.000000,1.000000,1.000000,1.000000
4,0.562500,0.000000,0.000000,0.000000,0.000000
4,0.625000,0.000000,0.000000,0.000000,0.000000
4,0.687500,0.000000,0.000000,0.000000,0.000000
4,0.750000,0.000000,0.000000,0.000000,0.000000
4,0.812500,0.000000,0.000000,0.000000,0.000000
4,0.875000,0.000000,0.000000,0.000000,0.000000
4,0.937500,0.000000,0.000000,0.000000,0.000000
4,1.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,70.000000,2.000000,70.000000,2.000000
5,0.040000,48.666667,1.555556,48.666667,1.555556
5,0.080000,36.666667,2.000000,36.666667,2.000000
5,0.120000,24.111111,1.444444,24.111111,1.444444
5,0.160000,12.333333,2.166667,12.333333,2.166667
5,0.200000,12.750000,1.500000,12.750000,1.500000
5,0.240000,4.800000,1.600000,4.800000,1.600000
5,0.280000,6.500000,1.500000,6.500000,1.500000
5,0.320000,7.500000,1.000000,7.500000,1.000000
5,0.360000,2.333333,1.000000,2.333333,1.000000
5,0.400000,4.000000,3.000000,4.000000,3.000000
5,0.440000,0.000000,0.000000,0.000000,0.000000
5,0.480000,0.000000,0.000000,0.000000,0.000000
5,0.520000,0.000000,0.000000,0.000000,0.000000
5,0.560000,0.000000,0.000000,0.000000,0.000000
5,0.600000,0.000000,0.000000,0.000000,0.000000
5,0.640000,0.000000,0.000000,0.000000,0.000000
5,0.680000,0.000000,0.000000,0.000000,0.000000
5,0.720000,0.000000,0.000000,0.000000,0.000000
5,0.760000,0.000000,0.000000,0.000000,0.000000
5,0.800000,0.000000,0.000000,0.000000,0.000000
5,0.840000,0.000000,0.000000,0.000000,0.000000
5,0.880000,0.000000,0.000000,0.000000,0.000000
5,0.920000,0.000000,0.000000,0.000000,0.000000
5,0.960000,0.000000,0.000000,0.000000,0.000000
5,1.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,252.000000,2.000000,252.000000,2.000000
6,0.027778,178.666667,1.444444,178.666667,1.444444
6,0.055556,137.000000,1.700000,137.000000,1.700000
6,0.083333,103.000000,2.250000,103.000000,2.250000
6,0.111111,62.111111,1.333333,62.111111,1.333333
6,0.138889,33.125000,1.125000,33.125000,1.125000
6,0.166667,41.200000,1.400000,41.200000,1.400000
6,0.194444,22.500000,1.000000,22.500000,1.000000
6,0.222222,25.000000,2.285714,25.000000,2.285714
6,0.250000,9.600000,1.600000,9.600000,1.600000
6,0.277778,13.333333,1.333333,13.333333,1.333333
6,0.305556,6.000000,1.000000,6.000000,1.000000
6,0.333333,5.000000,1.000000,5.000000,1.000000
6,0.361111,0.000000,0.000000,0.000000,0.000000
6,0.388889,0.000000,0.000000,0.000000,0.000000
6,0.416667,4.000000,1.000000,4.000000,1.000000
6,0.444444,0.000000,0.000000,0.000000,0.000000
6,0.472222,0.000000,0.000000,0.000000,0.000000
6,0.500000,0.000000,0.000000,0.000000,0.000000
6,0.527778,0.000000,0.000000,0.000000,0.000000
6,0.555556,0.000000,0.000000,0.000000,0.000000
6,0.583333,0.000000,0.000000,0.000000,0.000000
6,0.611111,0.000000,0.000000,0.000000,0.000000
6,0.638889,0.000000,0.000000,0.000000,0.000000
6,0.666667,0.000000,0.000000,0.000000,0.000000
6,0.694444,0.000000,0.000000,0.000000,0.000000
6,0.722222,0.000000,0.000000,0.000000,0.000000
6,0.750000,0.000000,0.000000,0.000000,0.000000
6,0.777778,0.000000,0.000000,0.000000,0.000000
6,0.805556,0.000000,0.000000,0.000000,0.000000
6,0.833333,0.000000,0.000000,0.000000,0.000000
6,0.861111,0.000000,0.000000,0.000000,0.000000
6,0.888889,0.000000,0.000000,0.000000,0.000000
6,0.916667,0.000000,0.000000,0.000000,0.000000
6,0.944444,0.000000,0.000000,0.000000,0.000000
6,0.972222,0.000000,0.000000,0.000000,0.000000
6,1.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,924.000000,2.000000,924.000000,2.000000
7,0.020408,678.300000,1.500000,678.300000,1.500000
7,0.040816,549.800000,2.000000,549.800000,2.000000
7,0.061224,359.375000,2.375000,359.375000,2.375000
7,0.081633,401.666667,2.666667,401.666667,2.666667
7,0.102041,227.000000,1.500000,227.000000,1.500000
7,0.122449,144.571429,3.428571,144.571429,3.428571
7,0.142857,134.888889,1.333333,134.888889,1.333333
7,0.163265,116.000000,3.000000,116.000000,3.000000
7,0.183673,94.000000,2.000000,94.000000,2.000000
7,0.204082,84.166667,3.333333,84.166667,3.333333
7,0.224490,28.250000,1.125000,28.250000,1.125000
7,0.244898,29.500000,3.000000,29.500000,3.000000
7,0.265306,9.000000,2.200000,9.000000,2.200000
7,0.285714,24.000000,1.666667,24.000000,1.666667
7,0.306122,18.000000,1.000000,18.000000,1.000000
7,0.326531,8.000000,1.250000,8.000000,1.250000
7,0.346939,20.000000,1.000000,20.000000,1.000000
7,0.367347,3.000000,1.000000,3.000000,1.000000
7,0.387755,0.000000,0.000000,0.000000,0.000000
7,0.408163,4.000000,2.000000,4.000000,2.000000
7,0.428571,0.000000,0.000000,0.000000,0.000000
7,0.448980,0.000000,0.000000,0.000000,0.000000
7,0.469388,0.000000,0.000000,0.000000,0.000000
7,0.489796,0.000000,0.000000,0.000000,0.000000
7,0.510204,0.000000,0.000000,0.000000,0.000000
7,0.530612,0.000000,0.000000,0.000000,0.000000
7,0.551020,0.000000,0.000000,0.000000,0.000000
7,0.571429,0.000000,0.000000,0.000000,0.000000
7,0.591837,0.000000,0.000000,0.000000,0.000000
7,0.612245,0.000000,0.000000,0.000000,0.000000
7,0.632653,0.000000,0.000000,0.000000,0.000000
7,0.653061,0.000000,0.000000,0.000000,0.000000
7,0.673469,0.000000,0.000000,0.000000,0.000000
7,0.693878,0.000000,0.000000,0.000000,0.000000
7,0.714286,0.000000,0.000000,0.000000,0.000000
7,0.734694,0.000000,0.000000,0.000000,0.000000
7,0.755102,0.000000,0.000000,0.000000,0.000000
7,0.775510,0.000000,0.000000,0.000000,0.000000
7,0.795918,0.000000,0.000000,0.000000,0.000000
7,0.816327,0.000000,0.000000,0.000000,0.000000
7,0.836735,0.000000,0.000000,0.000000,0.000000
7,0.857143,0.000000,0.000000,0.000000,0.000000
7,0.877551,0.000000,0.000000,0.000000,0.000000
7,0.897959,0.000000,0.000000,0.000000,0.000000
7,0.918367,0.000000,0.000000,0.000000,0.000000
7,0.938776,0.000000,0.000000,0.000000,0.000000
7,0.959184,0.000000,0.000000,0.000000,0.000000
7,0.979592,0.000000,0.000000,0.000000,0.000000
7,1.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,3432.000000,2.000000,3432.000000,2.000000
8,0.015625,2668.000000,1.777778,2668.000000,1.777778
8,0.031250,1447.250000,1.750000,1447.250000,1.750000
8,0.046875,1758.111111,1.888889,1758.111111,1.888889
8,0.062500,1090.444444,1.444444,1090.444444,1.444444
8,0.078125,866.300000,4.500000,866.300000,4.500000
8,0.093750,1150.714286,2.857143,1150.714286,2.857143
8,0.109375,581.250000,2.250000,581.250000,2.250000
8,0.125000,1139.125000,3.875000,1139.125000,3.875000
